extremophile_class,protein_count__median,protein_count__mean,protein_count__std,total_amino_acids__median,total_amino_acids__mean,total_amino_acids__std,protein_length_mean__median,protein_length_mean__mean,protein_length_mean__std,protein_length_median__median,protein_length_median__mean,protein_length_median__std,protein_length_std__median,protein_length_std__mean,protein_length_std__std,protein_length_min__median,protein_length_min__mean,protein_length_min__std,protein_length_max__median,protein_length_max__mean,protein_length_max__std,AAC_A__median,AAC_A__mean,AAC_A__std,AAC_C__median,AAC_C__mean,AAC_C__std,AAC_D__median,AAC_D__mean,AAC_D__std,AAC_E__median,AAC_E__mean,AAC_E__std,AAC_F__median,AAC_F__mean,AAC_F__std,AAC_G__median,AAC_G__mean,AAC_G__std,AAC_H__median,AAC_H__mean,AAC_H__std,AAC_I__median,AAC_I__mean,AAC_I__std,AAC_K__median,AAC_K__mean,AAC_K__std,AAC_L__median,AAC_L__mean,AAC_L__std,AAC_M__median,AAC_M__mean,AAC_M__std,AAC_N__median,AAC_N__mean,AAC_N__std,AAC_P__median,AAC_P__mean,AAC_P__std,AAC_Q__median,AAC_Q__mean,AAC_Q__std,AAC_R__median,AAC_R__mean,AAC_R__std,AAC_S__median,AAC_S__mean,AAC_S__std,AAC_T__median,AAC_T__mean,AAC_T__std,AAC_V__median,AAC_V__mean,AAC_V__std,AAC_W__median,AAC_W__mean,AAC_W__std,AAC_Y__median,AAC_Y__mean,AAC_Y__std,fraction_acidic__median,fraction_acidic__mean,fraction_acidic__std,fraction_basic__median,fraction_basic__mean,fraction_basic__std,fraction_charged__median,fraction_charged__mean,fraction_charged__std,fraction_aromatic__median,fraction_aromatic__mean,fraction_aromatic__std,fraction_polar__median,fraction_polar__mean,fraction_polar__std,fraction_hydrophobic__median,fraction_hydrophobic__mean,fraction_hydrophobic__std,fraction_small__median,fraction_small__mean,fraction_small__std,ratio_acidic_basic__median,ratio_acidic_basic__mean,ratio_acidic_basic__std,ratio_R_K__median,ratio_R_K__mean,ratio_R_K__std,proteome_aliphatic_index__median,proteome_aliphatic_index__mean,proteome_aliphatic_index__std,pI_mean__median,pI_mean__mean,pI_mean__std,pI_median__median,pI_median__mean,pI_median__std,pI_std__median,pI_std__mean,pI_std__std,molecular_weight_mean__median,molecular_weight_mean__mean,molecular_weight_mean__std,molecular_weight_median__median,molecular_weight_median__mean,molecular_weight_median__std,molecular_weight_std__median,molecular_weight_std__mean,molecular_weight_std__std,instability_index_mean__median,instability_index_mean__mean,instability_index_mean__std,instability_index_median__median,instability_index_median__mean,instability_index_median__std,instability_index_std__median,instability_index_std__mean,instability_index_std__std,aromaticity_mean__median,aromaticity_mean__mean,aromaticity_mean__std,aromaticity_median__median,aromaticity_median__mean,aromaticity_median__std,aromaticity_std__median,aromaticity_std__mean,aromaticity_std__std,gravy_mean__median,gravy_mean__mean,gravy_mean__std,gravy_median__median,gravy_median__mean,gravy_median__std,gravy_std__median,gravy_std__mean,gravy_std__std,aliphatic_index_mean__median,aliphatic_index_mean__mean,aliphatic_index_mean__std,aliphatic_index_median__median,aliphatic_index_median__mean,aliphatic_index_median__std,aliphatic_index_std__median,aliphatic_index_std__mean,aliphatic_index_std__std,fraction_acidic_proteins_pI_lt_5_5__median,fraction_acidic_proteins_pI_lt_5_5__mean,fraction_acidic_proteins_pI_lt_5_5__std,fraction_neutral_proteins_pI_5_5_to_8__median,fraction_neutral_proteins_pI_5_5_to_8__mean,fraction_neutral_proteins_pI_5_5_to_8__std,fraction_basic_proteins_pI_gt_8__median,fraction_basic_proteins_pI_gt_8__mean,fraction_basic_proteins_pI_gt_8__std
Halophile,3648.0,3843.109090909091,977.997096729904,1068701.0,1134795.490909091,334469.91215065867,289.5144847818115,295.109573726022,22.341741132915942,251.0,255.3272727272727,18.75406577691843,199.4299004298642,210.2299740445968,34.67179895416472,33.0,33.6,3.159934364062834,2226.0,2947.2909090909093,2137.7739778731006,0.1066107891085048,0.10397080540526442,0.01460781876229243,0.0073844371120346,0.00762296859249994,0.0012199627010557252,0.0812625735197717,0.0766656991776007,0.01205889069316024,0.0822095034402605,0.08045079920497775,0.008880350330032268,0.0338361662971496,0.03471940627118734,0.0035407598476083105,0.0837869972287397,0.08267822617307158,0.006851288026443977,0.0202081531420585,0.020739967316022324,0.0020144775380586777,0.0432217595904557,0.04618058648315918,0.012125620808148206,0.0190698826093822,0.02553314498603471,0.015073648757039846,0.0897289449319065,0.09282170030934749,0.007582203118733881,0.0178496279189119,0.01952764659027604,0.004040077056234783,0.0243533156705312,0.0273105051398501,0.007809359232532793,0.046657863467084,0.04594973064763209,0.00425026807822148,0.0256919740862537,0.02919695888771157,0.008449275778229633,0.0657629273539766,0.06377508996843136,0.009285673362521035,0.0563091164814765,0.05676737034432708,0.0037119706565145907,0.0629378975492656,0.062026034133491316,0.005610914348531656,0.0873948847359508,0.08478226924795691,0.00934455181576267,0.0114033476402541,0.011774229596693778,0.0013163743486558038,0.0270143816056087,0.027506861524463428,0.0031009616546028903,0.1642495221888397,0.1571164983825785,0.019056431098767094,0.0860599256514093,0.08930823495446612,0.007883012640588632,0.2516281649606288,0.24642473333704468,0.013682675581664045,0.0724729578515479,0.07400049739234464,0.006171718817007143,0.1707891893586068,0.1753008685053802,0.015456187835729945,0.4192056215241244,0.42128350542834886,0.008576935150711677,0.4515678727226071,0.44379740454424366,0.032653821225090036,1.91234658673152,1.7852041835115924,0.33077039934719243,3.4448082813985423,3.1153080147996497,1.1683257812709977,88.01972371272551,89.1948304715116,3.0130583545391705,5.065402635050218,5.370118630801893,0.6174359460721361,4.546119117736817,4.81351504239169,0.5005932124186304,1.470187953386883,1.558002728857806,0.2342010778263533,31413.81970369877,32246.955968401453,2504.4851022799007,27250.45465,27822.256916363636,2146.1324706566397,21855.41062824103,22911.369254304118,3612.8202700539587,37.05360943578233,37.116579652804205,1.8586114870046941,36.13801310805181,36.14349414526758,1.91489051915644,11.174918294947531,11.17051072777832,0.6444938135636694,0.0711826808703024,0.07324415146624187,0.006628571014245941,0.0697435897435897,0.07101025846956235,0.006240329068461918,0.027931427181712,0.028550481283760698,0.002445379545126634,-0.1895061663019672,-0.18352079046541184,0.0412100397638587,-0.2935714285714286,-0.28613594999573005,0.04935674610972856,0.5169313126223927,0.5046142236051344,0.04113806960374334,88.17224764828929,89.30843474885741,3.035749173451155,85.1344537815126,86.60017165095303,3.3433656819687836,20.117365565754188,19.648857412351138,1.3575879772991941,0.8346392866792759,0.7449725552764446,0.17236286294150782,0.0865196762489533,0.1409663570855314,0.10230002420325127,0.0780669144981412,0.1140610876380239,0.0755267936063848
Mesophile,3767.0,3908.2909090909093,1368.1287933839399,1254466.0,1281254.6181818182,471591.2601449004,323.98398760330576,325.83005908754745,21.74953708591796,282.0,281.57272727272726,16.184817468798247,225.6845724526468,242.4571282311863,52.08390585142281,33.0,33.45454545454545,2.8141058827257943,3842.0,4950.8,3380.8995701889316,0.1157406468962628,0.10612770004632957,0.024225082814029356,0.0082754727808481,0.00812843279599982,0.0017845008399690375,0.056880887717929,0.05790344234150262,0.0042017671204245734,0.0590491666981595,0.060898917101532904,0.008694606251944643,0.0369016708563397,0.037971368289850406,0.006422212237645683,0.0811082860487484,0.07876998760250682,0.009560615100638674,0.0211061101852046,0.021274293393686174,0.0022202052098513362,0.0521890594151993,0.05625208653079979,0.013767854949903515,0.0341481256131451,0.04076558636318035,0.019062500874166433,0.1009531581910989,0.10178373806396591,0.006498193017590313,0.0237456506389953,0.023853531693509955,0.003255939241149492,0.0294056432670294,0.03396264927024821,0.0123499947570496,0.0487297404827878,0.04699039229256851,0.00874247513032491,0.0363867972507824,0.03642991735657981,0.006161379362827431,0.0642456953614254,0.06071948876234935,0.014479089536039188,0.0587380997068207,0.058272427141404876,0.005237740802045174,0.0547627382380853,0.05573843220849572,0.004997619365381139,0.0717070850107928,0.07374098871417764,0.008110099417029962,0.013636265766367,0.0131245279846685,0.0022463287349351532,0.0239987373558531,0.027292092046642107,0.007253024738316494,0.1176967263415183,0.11880235944303556,0.008523898599922017,0.1009276365813016,0.10148507512552976,0.007264085369112497,0.2174850947039368,0.2202874345685654,0.01288064772900512,0.0743049892655012,0.07838798832116113,0.011583987502953065,0.1797346090185491,0.18440342597672876,0.01943178804958325,0.4401367468182365,0.44014603336994423,0.010277809951379687,0.4344634818196512,0.4277683608014832,0.04611033369481958,1.1821748542880934,1.1744801618414502,0.09794342609654719,1.9103818103818104,1.9819674157667748,1.2465714034106363,93.86566562807444,93.63162832370317,2.1273366570809946,6.594404229522453,6.65546592644506,0.3569787011511696,5.839262962341309,5.910083826238458,0.3969083951765237,1.873103232945816,1.8989880557644534,0.10873235651514455,35309.5883881714,35741.10874895007,2412.5228129639427,30742.600550000003,30903.75187090909,1653.4985962703572,24232.73979558408,26289.057815290264,5397.444301203327,37.06892590102916,37.22245147343249,1.9488093039350802,36.610317418214,36.62655373932706,1.9094755498912725,10.375091312168133,10.33049610157831,0.5171068233375932,0.07391312456175,0.0782261021495421,0.011888678917162939,0.072289156626506,0.07587614558214138,0.012071943675767602,0.0280749687016563,0.028828092750297914,0.003062265186869969,-0.0806569799743847,-0.08838602035656527,0.07341059783358302,-0.1401197604790419,-0.15990053040715838,0.08199469864055418,0.4083445145835853,0.4165097273856162,0.04011071638460466,93.861963618288,93.84657023680579,1.9804786280342281,92.4074074074074,92.21337899988808,1.8370664790890299,16.53482240205146,16.627206993991365,1.1086087698281561,0.3996058142399605,0.38087132804807367,0.11519987197921866,0.3390630266262218,0.3425069789857703,0.0696215636540556,0.2660406885758998,0.27662169296615596,0.06157247287753366
Thermophile,2303.0,2558.2363636363634,791.6244190747407,710196.0,790935.8363636363,281979.27989565604,301.0087884494664,306.1349936123727,27.257001273634366,263.0,268.1818181818182,25.510412477675562,200.6515043761699,206.29823730090547,22.067145831128638,34.0,34.69090909090909,3.858001436518018,2036.0,2541.2545454545457,1163.2870608145636,0.0785444556437302,0.08566258517014806,0.02504232170239907,0.0079667448755573,0.00815382305341768,0.0020905287405318276,0.0492604277083607,0.051043261599424065,0.009674198725389813,0.0739812297079605,0.073446107146774,0.00839070951193275,0.0412481154608439,0.04051429177698092,0.006838281434823185,0.0747068024099514,0.07469064099200398,0.009574284804340359,0.0178466155136107,0.017781613030616376,0.0033458201125971,0.0658457191786527,0.06851990483796193,0.021965854353691742,0.0575360269474995,0.056686562407891335,0.025045586446152436,0.1006123573056278,0.10394800475889565,0.010387087041920085,0.0225378215454107,0.022416817668731992,0.003357270318447382,0.0322095796482162,0.03480720406684753,0.0130914697896116,0.0441592451547772,0.045904499151493014,0.010383573697722867,0.0272771844690707,0.02790842584002184,0.007720443180536088,0.0608557875547918,0.06056235249168532,0.017675253217082416,0.0532830313460541,0.05407030609568086,0.008187696852176475,0.0479775024241068,0.048772913008585994,0.005823605708442413,0.076575717820549,0.07807919968329667,0.009592894526028762,0.0116787437786484,0.012064641132708971,0.0035117114598439913,0.035995637993881,0.03496684608683286,0.00803923720792814,0.1220545873068069,0.1244893687461981,0.013875509845703182,0.1190941300178825,0.11724891489957669,0.01211753111842786,0.239806466695805,0.24173828364577485,0.015950717550570565,0.0889958697699775,0.08754577899652285,0.010545842600061382,0.1655995952457266,0.16555884901113638,0.020375367240283705,0.4444485489989402,0.44617229111555745,0.012593659174122158,0.3900694375147552,0.3953339671546266,0.04424799172270651,1.0206470635110367,1.0801277613753668,0.24142293706633447,1.057698815566836,1.6158087939117802,1.4123296544879413,98.95041521324828,98.47171116794534,4.559746272626906,7.24611603338346,7.12947558696051,0.6256095436439303,6.6573465347290055,6.709154087413442,0.9065027923050074,1.8424187317955207,1.8484240309306934,0.16631609163236818,33798.18763523293,34131.72012102475,2943.466773903422,29538.533449999995,29818.692873636362,2727.8663450054632,22342.688815383477,22967.263593234544,2328.35911341427,36.79793680240791,37.32203183214796,3.1790511543693296,35.92236180904522,36.59333741546094,3.1275567754123337,10.748648758270551,10.711756356495307,0.6695085194729352,0.0862697107379505,0.08615739096998375,0.010285178674295594,0.0845070422535211,0.08361413727184132,0.010205922484342328,0.0313432975311263,0.031337525610020574,0.0030863470043540485,-0.0871199682848902,-0.08060156398533427,0.0633040056887389,-0.1525926083987709,-0.15378374737374606,0.07048867570957563,0.4264693046529679,0.4291278844219289,0.04024863402266497,99.7274183395094,98.89669723322581,4.678379401670461,98.26086956521738,97.29451523643998,4.665131631411233,16.67959454356094,16.827002979629572,1.342435469390044,0.2262886597938144,0.2623488934352269,0.1624367383325787,0.3738317757009345,0.3604359751345553,0.08429508347504469,0.3946666666666666,0.3772151314302178,0.10486401461058302
